snippet,description,A,r,i,b
fmm,Beamer frame environment,True,False,False,True
bll,Block environment,True,False,False,True
cols,Beamer columns environment,True,False,False,True
coll,\column{} (for use with beamer),True,False,False,True
ps,\pause (for beamer),False,False,False,False
fmm,Beamer frame environment,True,False,False,True
bll,Block environment,True,False,False,True
cols,Beamer columns environment,True,False,False,True
coll,\column{} (for use with beamer),True,False,False,True
ps,\pause (for beamer),False,False,False,False
fmm,Beamer frame environment,True,False,False,True
bll,Block environment,True,False,False,True
cols,Beamer columns environment,True,False,False,True
coll,\column{} (for use with beamer),True,False,False,True
ps,\pause (for beamer),False,False,False,False
fmm,Beamer frame environment,True,False,False,True
bll,Block environment,True,False,False,True
cols,Beamer columns environment,True,False,False,True
coll,\column{} (for use with beamer),True,False,False,True
ps,\pause (for beamer),False,False,False,False
fmm,Beamer frame environment,True,False,False,True
bll,Block environment,True,False,False,True
cols,Beamer columns environment,True,False,False,True
coll,\column{} (for use with beamer),True,False,False,True
ps,\pause (for beamer),False,False,False,False
fmm,Beamer frame environment,True,False,False,True
bll,Block environment,True,False,False,True
cols,Beamer columns environment,True,False,False,True
coll,\column{} (for use with beamer),True,False,False,True
ps,\pause (for beamer),False,False,False,False
fmm,Beamer frame environment,True,False,False,True
bll,Block environment,True,False,False,True
cols,Beamer columns environment,True,False,False,True
coll,\column{} (for use with beamer),True,False,False,True
ps,\pause (for beamer),False,False,False,False
fmm,Beamer frame environment,True,False,False,True
bll,Block environment,True,False,False,True
cols,Beamer columns environment,True,False,False,True
coll,\column{} (for use with beamer),True,False,False,True
ps,\pause (for beamer),False,False,False,False
fmm,Beamer frame environment,True,False,False,True
bll,Block environment,True,False,False,True
cols,Beamer columns environment,True,False,False,True
coll,\column{} (for use with beamer),True,False,False,True
ps,\pause (for beamer),False,False,False,False
fmm,Beamer frame environment,True,False,False,True
bll,Block environment,True,False,False,True
cols,Beamer columns environment,True,False,False,True
coll,\column{} (for use with beamer),True,False,False,True
ps,\pause (for beamer),False,False,False,False
fmm,Beamer frame environment,True,False,False,True
bll,Block environment,True,False,False,True
cols,Beamer columns environment,True,False,False,True
coll,\column{} (for use with beamer),True,False,False,True
ps,\pause (for beamer),False,False,False,False
(^|[\W])\\\{,Escaped curly braces \{ ... \},True,True,False,False
([^a-zA-Z])l\(,Left/Right parentheses,True,True,False,False
([^a-zA-Z])l\[,Left/Right square brackets,True,True,False,False
([^a-zA-Z])l\{,Left/Right curly braces,True,True,False,False
([^a-zA-Z])([bB])\(,(bB)ig/(bB)ig parentheses,True,True,False,False
([^a-zA-Z])([bB])\[,(bB)ig/(bB)ig square brackets,True,True,False,False
([^a-zA-Z])([bB])\{,(bB)ig/(bB)ig curly brackets,True,True,False,False
(^|[^a-zA-Z0-9])``,LaTeX quotation marks,True,True,False,False
(^|[^\w\$\)\}])',single quotation marks,True,True,False,False
(^|[\W])\\\{,Escaped curly braces \{ ... \},True,True,False,False
([^a-zA-Z])l\(,Left/Right parentheses,True,True,False,False
([^a-zA-Z])l\[,Left/Right square brackets,True,True,False,False
([^a-zA-Z])l\{,Left/Right curly braces,True,True,False,False
([^a-zA-Z])([bB])\(,(bB)ig/(bB)ig parentheses,True,True,False,False
([^a-zA-Z])([bB])\[,(bB)ig/(bB)ig square brackets,True,True,False,False
([^a-zA-Z])([bB])\{,(bB)ig/(bB)ig curly brackets,True,True,False,False
(^|[^a-zA-Z0-9])``,LaTeX quotation marks,True,True,False,False
(^|[^\w\$\)\}])',single quotation marks,True,True,False,False
(^|[\W])\\\{,Escaped curly braces \{ ... \},True,True,False,False
([^a-zA-Z])l\(,Left/Right parentheses,True,True,False,False
([^a-zA-Z])l\[,Left/Right square brackets,True,True,False,False
([^a-zA-Z])l\{,Left/Right curly braces,True,True,False,False
([^a-zA-Z])([bB])\(,(bB)ig/(bB)ig parentheses,True,True,False,False
